"1","Daniel","Roulet","1986-12-08","(206)555-9857","507 - 20th Ave. E. Apt. 2A","Portland","OR","973"
"2","Annette","Tannamuri","1986-02-19","(206) 555-3412","722 Moss Bay Blvd.","San Francisco","CA","2247"
"3","Yoshi","Steel","1985-08-30","(71) 555-4848","14 Garrett Hill","Lander","WY","1906"
"4","John","Messner","1974-09-19","(71) 555-5598","Coventry House Miner Rd.","Anchorage","AK","4457"
"5","Renate","Yorres","1973-03-04","NULL","Edgeham Hollow Winchester Way","Seattle","WA","3975"
"6","Jaime","González","1991-09-04","(71) 555-4444","7 Manley Drive","Chicago","IL","3073"
"7","Carlos","Izquierdo","1964-07-02","(61)5-641-4759","50 Lillian Crossing","Elgin","OR","6172"
"8","Felipe","Wilson","1993-05-29","(71) 555-7773","4726 - 11th Ave. N.E.","Sarasota","FL","1104"
"9","Giovanni","Rovelli","1992-01-09","(206) 555-8122","4110 Old Redmond Rd.","Seattle","WA","1486"
"10","Catherine","Dewey","1969-01-27","(206) 555-9482","7 Houndstooth Rd.","Atlanta","GA","1796"
